parameter sync wildtype,per wildtype,amp wildtype,per wildtype/wt,amp wildtype/wt,sync her7 mutant,per her7 mutant,amp her7 mutant,per her7 mutant/wt,amp her7 mutant/wt,sync her13 mutant,per her13 mutant,amp her13 mutant,per her13 mutant/wt,amp her13 mutant/wt,sync delta mutant,per delta mutant,amp delta mutant,per delta mutant/wt,amp delta mutant/wt,sync her7,per her7,amp her7,per her7,amp her7,sync her1 mutant,per her1 mutant,amp her1 mutant,per her1 mutant/wt,amp her1 mutant/wt,sync delta,per delta,amp delta,per delta,amp delta,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,
0,0.0676913,2.27448,2.17094,2.27273,2.27273,2.27272,-1.00717,4.42538e-06,1.11945e-305,4.66074e-06,2.27285,2.27075,2.15771,2.26895,2.25859,2.24566,2.27437,2.20419,2.27263,2.30799,2.27284,2.27039,2.15875,2.2686,2.25968,2.27275,2.27403,2.16695,2.27228,2.26853,2.27273,-1,2.33417e-06,3.65715e-306,2.46287e-06,2.36133,2.28001,0.0464056,2.2782,0.0487146,2.25263,2.274,2.18252,2.27225,2.28516,2.27273,0,2.27273,0,2.37873,2.27269,8.49978e-305,1.46804,8.49692e-305,1.34359e-05,
1,0.0676932,2.27179,2.27303,2.27273,2.27273,2.27272,-1,1.67129e-06,1.1128e-305,1.68113e-06,2.27271,2.27368,2.27494,2.27458,2.27436,2.31131,2.27183,2.19437,2.27278,2.19452,2.27271,2.27405,2.27482,2.27497,2.27424,2.2728,2.27173,2.2773,2.27267,2.27698,2.2729,-1.00106,5.38032e-06,3.66538e-306,5.42204e-06,2.26075,2.27366,1.99067,2.27456,1.99587,2.29759,2.27182,2.22804,2.27276,2.22805,2.27269,0,2.27273,0,2.2719,2.27274,8.6928e-305,0.568149,8.70019e-305,4.54542,
2,4.68777,2.27295,2.25981,2.27273,2.27273,2.27273,-1,1.91229e-06,1.11223e-305,1.93478e-06,2.2727,2.27368,2.27481,2.27343,2.28754,2.33012,2.27219,2.18578,2.27198,2.1987,2.27271,2.27405,2.27482,2.2738,2.28753,2.27276,2.27326,2.26826,2.27305,2.28121,2.27266,-0.999696,2.83647e-06,3.6585e-306,2.87517e-06,2.27084,2.27225,5.17541,2.272,5.21926,2.3094,2.27255,2.22846,2.27233,2.2415,2.2727,0,2.27273,0,2.28517,2.27276,7.77607e-305,0.63577,7.77871e-305,5.58992e-06,
3,0.0676918,2.27525,2.27185,2.27273,2.27273,2.27273,-1.50759,2.56049e-06,1.67509e-305,2.57688e-06,2.27265,2.27587,2.27255,2.27332,2.27315,2.25207,2.27401,2.3032,2.27149,2.30454,2.27266,2.27515,2.27247,2.27259,2.27305,2.27275,2.27556,2.27085,2.27303,2.27169,2.2727,-2.73497e+306,7.14285,inf,7.20195,2.26075,2.27366,1.99067,2.27111,1.9969,2.25263,2.274,2.29739,2.27148,2.29859,2.27275,0,2.27273,0,2.27307,2.27273,7.58972e-305,0.887914,7.58461e-305,4.54541,
4,4.68777,2.27371,2.37642,2.27273,2.27273,2.27266,-1.49208,1.21613e-06,1.65898e-305,1.17007e-06,2.27281,2.28758,2.36715,2.28655,2.26359,2.2639,2.27328,2.38548,2.2723,2.28185,2.27277,2.28724,2.36609,2.28622,2.26258,2.27277,2.27403,2.37871,2.27303,2.2749,2.27268,-inf,7.14285,inf,6.88507,2.30865,2.28705,7.92404,2.28603,7.59911,2.25761,2.274,2.39426,2.27302,2.29011,2.27272,0,2.27273,0,2.17306,2.27257,1.01391e-304,24.0443,1.01391e-304,0.000201033,
5,0.0676853,2.28564,2.24124,2.27273,2.27273,2.27272,-1,1.67129e-06,1.10606e-305,1.70498e-06,2.2727,2.27368,2.27472,2.2608,2.3064,2.29141,2.29073,2.27163,2.2778,2.30401,2.27271,2.27405,2.27482,2.26118,2.3065,2.27249,2.28553,2.24106,2.27262,2.27253,2.27255,-1.50875,1.5987e-06,5.49082e-306,1.63396e-06,2.26075,2.27366,1.99067,2.26078,2.02418,2.29488,2.2903,2.2604,2.27737,2.29247,2.27276,0,2.27273,0,2.30412,2.27273,9.79644e-305,0.13531,9.74536e-305,4.54542,
6,4.68777,2.27525,2.30167,2.27273,2.27273,2.27282,0,18.1818,0,18.0612,2.2727,2.27368,2.27481,2.27112,2.24593,2.17911,2.27582,2.41027,2.27331,2.38043,2.27271,2.27405,2.27482,2.2715,2.24594,2.27274,2.27479,2.29296,2.27226,2.2641,2.27279,-1.49795,1.56673e-06,5.47637e-306,1.55924e-06,2.33528,2.27648,0.368228,2.27392,0.364597,2.20118,2.27508,2.36151,2.27257,2.33214,2.27275,0,2.27273,0,2.24362,2.2727,9.75917e-305,0.253322,9.75259e-305,2.18679e-06,
7,0.0676937,2.27641,2.2906,2.27273,2.27273,2.27275,-1.00233,3.09669e-06,1.11313e-305,3.09101e-06,2.2728,2.27587,2.27801,2.27215,2.25996,2.25207,2.27401,2.3032,2.27033,2.28567,2.27279,2.27552,2.27814,2.27181,2.26008,2.27282,2.27633,2.29103,2.27264,2.27314,2.27276,-inf,7.14285,inf,7.14301,2.26075,2.27366,1.99067,2.26996,1.98056,2.25263,2.274,2.29739,2.27032,2.27977,2.2727,0,2.27273,0,2.25447,2.27275,9.82425e-305,0.147636,9.81264e-305,4.54542,
8,4.68777,2.27448,2.2852,2.27273,2.27273,2.27272,-1.00717,4.65829e-06,1.11945e-305,4.66074e-06,2.27285,2.27075,2.27127,2.26895,2.25859,2.24566,2.27437,2.3202,2.27263,2.30799,2.27284,2.27039,2.27237,2.2686,2.25968,2.27275,2.27403,2.281,2.27228,2.26853,2.27273,-1,2.45701e-06,3.65715e-306,2.46287e-06,2.36133,2.28001,0.048848,2.2782,0.0487146,2.25263,2.274,2.29739,2.27225,2.28516,2.27273,0,2.27273,0,2.2598,2.27269,8.49978e-305,1.5453,8.49692e-305,1.34359e-05,
9,0.0676932,2.27179,2.27303,2.27273,2.27273,2.27272,-1,1.67129e-06,1.1128e-305,1.68113e-06,2.27271,2.27368,2.27494,2.27458,2.27436,2.31131,2.27183,2.19437,2.27278,2.19452,2.27271,2.27405,2.27482,2.27497,2.27424,2.2728,2.27173,2.2773,2.27267,2.27698,2.2729,-1.00106,5.38032e-06,3.66538e-306,5.42204e-06,2.26075,2.27366,1.99067,2.27456,1.99587,2.29759,2.27182,2.22804,2.27276,2.22805,2.27269,0,2.27273,0,2.2719,2.27274,8.6928e-305,0.568149,8.70019e-305,4.54542,
